[08Jul2025 00:09:51.606] [Server thread/INFO] [Easy NPC/]: Opening menu 214e7665-ca16-4a9a-ab37-fe8e3c51a273 for npc 8ffdd641-3a89-4436-83cf-d57f4c86e0db and player ServerPlayer['CesarDFA27'/9323, l='ServerLevel[world]', x=-1278.24, y=100.00, z=-375.63] with ConfigurationMenu.MAIN[translation{key='text.easy_npc.config.main.title', args=[Cocinero]}]
[08Jul2025 00:09:52.017] [Server thread/INFO] [Easy NPC/]: Opening menu f7898583-4793-4fe2-b40c-97d83abc7887 for npc 8ffdd641-3a89-4436-83cf-d57f4c86e0db and player ServerPlayer['CesarDFA27'/9323, l='ServerLevel[world]', x=-1278.24, y=100.00, z=-375.63] with ConfigurationMenu.MAIN[translation{key='text.easy_npc.config.main.title', args=[Cocinero]}]
[08Jul2025 00:10:12.445] [Server thread/INFO] [Easy NPC/]: Opening menu 89a6b3ca-24cd-41cb-bd10-5c6d6c4ce7a2 for npc 8ffdd641-3a89-4436-83cf-d57f4c86e0db and player ServerPlayer['CesarDFA27'/9323, l='ServerLevel[world]', x=-1278.24, y=100.00, z=-375.63] with ConfigurationMenu.MAIN[translation{key='text.easy_npc.config.main.title', args=[Cocinero]}]
[08Jul2025 00:10:33.748] [Server thread/INFO] [Easy NPC/]: Opening menu b85ee0cf-2d1b-4772-b99f-1148de4944ca for npc 8ffdd641-3a89-4436-83cf-d57f4c86e0db and player ServerPlayer['CesarDFA27'/9323, l='ServerLevel[world]', x=-1277.42, y=100.00, z=-376.09] with ConfigurationMenu.MAIN[translation{key='text.easy_npc.config.main.title', args=[Cocinero]}]
[08Jul2025 00:10:36.260] [Server thread/INFO] [Easy NPC/]: Opening menu dc23f15f-92fa-41d7-bfc5-6096a3f8aacc for npc 8ffdd641-3a89-4436-83cf-d57f4c86e0db and player ServerPlayer['CesarDFA27'/9323, l='ServerLevel[world]', x=-1277.80, y=100.00, z=-375.78] with ConfigurationMenu.DEFAULT_POSITION[translation{key='text.easy_npc.config.default_position.title', args=[Cocinero]}]
[08Jul2025 00:10:57.162] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Not Secure] <CesarDFA27> -1279 100 -371
[08Jul2025 00:11:02.601] [Server thread/INFO] [Easy NPC/]: Opening menu f8a99454-63fe-4538-8812-75ad5b0bbecc for npc 8ffdd641-3a89-4436-83cf-d57f4c86e0db and player ServerPlayer['CesarDFA27'/9323, l='ServerLevel[world]', x=-1277.16, y=100.00, z=-374.89] with ConfigurationMenu.MAIN[translation{key='text.easy_npc.config.main.title', args=[Cocinero]}]
[08Jul2025 00:11:04.106] [Server thread/INFO] [Easy NPC/]: Opening menu d972dd4a-19fb-4b61-bad0-882969013b50 for npc 8ffdd641-3a89-4436-83cf-d57f4c86e0db and player ServerPlayer['CesarDFA27'/9323, l='ServerLevel[world]', x=-1277.16, y=100.00, z=-374.89] with ConfigurationMenu.DEFAULT_POSITION[translation{key='text.easy_npc.config.default_position.title', args=[Cocinero]}]
[08Jul2025 00:11:13.102] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Not Secure] <CesarDFA27> -1279 100 -371
[08Jul2025 00:11:14.100] [Server thread/INFO] [Easy NPC/]: Opening menu 5ef75b0d-d562-48fc-bc7a-d6d2b218da32 for npc 8ffdd641-3a89-4436-83cf-d57f4c86e0db and player ServerPlayer['CesarDFA27'/9323, l='ServerLevel[world]', x=-1277.16, y=100.00, z=-374.89] with ConfigurationMenu.MAIN[translation{key='text.easy_npc.config.main.title', args=[Cocinero]}]
[08Jul2025 00:11:17.913] [Server thread/INFO] [Easy NPC/]: Opening menu c812f8cd-a7ea-44b7-b053-8c5d7fe40197 for npc 8ffdd641-3a89-4436-83cf-d57f4c86e0db and player ServerPlayer['CesarDFA27'/9323, l='ServerLevel[world]', x=-1277.16, y=100.00, z=-374.89] with ConfigurationMenu.DEFAULT_POSITION[translation{key='text.easy_npc.config.default_position.title', args=[Cocinero]}]
